state,date,deaths,cases,Case_Fatality_Ratio
Alabama,2021-10-24,550,28610,0.92
Alabama,2021-10-31,555,29220,0.97
Alabama,2021-11-07,565,29822,1.69
Alabama,2021-11-14,571,30392,1.23
Alabama,2021-11-21,583,31012,1.77
Alabama,2021-11-28,592,31679,1.41
Alabama,2021-12-05,602,32320,1.58
Alabama,2021-12-12,613,32967,1.87
Alabama,2021-12-19,617,33478,0.91
Alabama,2021-12-26,622,33876,1.36
Alaska,2020-03-01,0,31,3.68
Alaska,2020-03-08,1,65,4.15
Alaska,2020-03-15,2,109,3.54
Alaska,2020-03-22,3,163,3.75
Alaska,2020-03-29,4,214,3.56
Alaska,2020-04-05,7,293,3.95
Alaska,2020-04-12,9,366,3.15
Alaska,2020-04-19,10,424,3.38
Alaska,2020-04-26,12,467,4.43
Alaska,2020-05-03,13,525,3.32
Alaska,2020-05-10,14,558,3.0
Alaska,2020-05-17,15,592,3.82
Alaska,2020-05-24,16,618,3.98
Alaska,2020-05-31,16,630,3.34
Alaska,2020-06-07,16,650,2.64
Alaska,2020-06-14,16,666,1.57
Alaska,2020-06-21,16,692,2.56
Alaska,2020-06-28,16,708,2.24
Alaska,2020-07-05,16,725,2.15
Alaska,2020-07-12,16,748,2.45
Alaska,2020-07-19,16,768,2.44
Alaska,2020-07-26,16,794,2.49
Alaska,2020-08-02,16,810,2.46
Alaska,2020-08-09,16,833,2.91
Alaska,2020-08-16,16,853,2.46
Alaska,2020-08-23,16,875,2.91
Alaska,2020-08-30,16,903,2.86
Alaska,2020-09-06,16,919,1.65
Alaska,2020-09-13,16,935,2.52
Alaska,2020-09-20,16,954,2.77
Alaska,2020-09-27,16,980,1.92
Alaska,2020-10-04,18,1058,2.44
Alaska,2020-10-11,20,1146,2.71
Alaska,2020-10-18,22,1214,2.63
Alaska,2020-10-25,24,1332,2.12
Alaska,2020-11-01,26,1445,2.01
Alaska,2020-11-08,28,1569,2.14
Alaska,2020-11-15,30,1691,1.65
Alaska,2020-11-22,32,1800,2.74
Alaska,2020-11-29,34,1936,2.08
Alaska,2020-12-06,36,2072,1.64
Alaska,2020-12-13,40,2208,2.93
Alaska,2020-12-20,42,2320,2.17
Alaska,2020-12-27,44,2409,2.51
Alaska,2021-01-03,45,2520,1.75
Alaska,2021-01-10,45,2608,0.87
Alaska,2021-01-17,46,2686,1.87
Alaska,2021-01-24,46,2743,0.97
Alaska,2021-01-31,46,2814,0.92
Alaska,2021-02-07,46,2881,0.89
Alaska,2021-02-14,46,2940,0.9
Alaska,2021-02-21,46,3001,1.25
Alaska,2021-02-28,47,3052,1.94
Alaska,2021-03-07,47,3085,1.25
Alaska,2021-03-14,47,3119,1.47
Alaska,2021-03-21,47,3155,0.93
Alaska,2021-03-28,47,3175,1.36
Alaska,2021-04-04,47,3197,0.94
Alaska,2021-04-11,47,3230,1.5
Alaska,2021-04-18,47,3257,1.14
Alaska,2021-04-25,47,3281,1.96
Alaska,2021-05-02,47,3318,0.85
Alaska,2021-05-09,47,3347,1.99
Alaska,2021-05-16,47,3377,1.96
Alaska,2021-05-23,47,3408,1.63
Alaska,2021-05-30,47,3439,1.5
Alaska,2021-06-06,47,3474,1.14
Alaska,2021-06-13,47,3530,1.35
Alaska,2021-06-20,47,3567,1.03
Alaska,2021-06-27,47,3604,1.5
Alaska,2021-07-04,48,3654,1.98
Alaska,2021-07-11,48,3692,1.17
Alaska,2021-07-18,48,3733,1.0
Alaska,2021-07-25,48,3776,1.94
Alaska,2021-08-01,48,3815,1.3
Alaska,2021-08-08,48,3860,0.85
Alaska,2021-08-15,48,3895,1.77
Alaska,2021-08-22,48,3926,1.51
Alaska,2021-08-29,49,3979,1.81
Alaska,2021-09-05,49,4022,1.3
Alaska,2021-09-12,49,4056,1.84
Alaska,2021-09-19,50,4120,2.0
Alaska,2021-09-26,51,4181,1.93
Alaska,2021-10-03,51,4228,1.34
Alaska,2021-10-10,52,4303,1.53
Alaska,2021-10-17,53,4372,1.54
Alaska,2021-10-24,53,4422,1.61
Alaska,2021-10-31,54,4502,1.42
Alaska,2021-11-07,55,4575,1.47
Alaska,2021-11-14,55,4644,0.96
Alaska,2021-11-21,56,4732,1.54
Alaska,2021-11-28,56,4796,0.96
Alaska,2021-12-05,57,4868,1.51
Alaska,2021-12-12,58,4945,1.88
Alaska,2021-12-19,59,5026,1.74
Alaska,2021-12-26,60,5112,1.83
Arizona,2020-03-01,12,281,4.35
Arizona,2020-03-08,28,677,3.42
Arizona,2020-03-15,46,1233,3.16
Arizona,2020-03-22,58,1771,2.65
Arizona,2020-03-29,70,2307,2.8
Arizona,2020-04-05,90,3081,2.86
Arizona,2020-04-12,122,3954,3.45
Arizona,2020-04-19,134,4489,2.88
Arizona,2020-04-26,146,4969,3.06
Arizona,2020-05-03,156,5353,2.74
Arizona,2020-05-10,166,5689,3.23
Arizona,2020-05-17,175,6024,2.58
Arizona,2020-05-24,181,6238,2.66
Arizona,2020-05-31,184,6377,2.62
Arizona,2020-06-07,189,6630,2.62
Arizona,2020-06-14,192,6807,2.06
Arizona,2020-06-21,196,7036,2.05
Arizona,2020-06-28,199,7282,1.56
Arizona,2020-07-05,205,7524,2.84
Arizona,2020-07-12,208,7742,1.66
Arizona,2020-07-19,211,7960,1.86
Arizona,2020-07-26,213,8158,1.53
Arizona,2020-08-02,215,8335,1.99
Arizona,2020-08-09,221,8599,2.39
Arizona,2020-08-16,225,8850,2.25
Arizona,2020-08-23,230,9069,2.38
Arizona,2020-08-30,233,9274,1.69
Arizona,2020-09-06,237,9470,2.47
Arizona,2020-09-13,243,9666,2.98
Arizona,2020-09-20,245,9846,1.65
Arizona,2020-09-27,247,10027,1.74
Arizona,2020-10-04,259,10624,1.76
Arizona,2020-10-11,271,11190,2.29
Arizona,2020-10-18,288,12255,1.67
Arizona,2020-10-25,324,13398,2.8
Arizona,2020-11-01,339,14210,1.76
Arizona,2020-11-08,369,15466,2.34
Arizona,2020-11-15,389,16365,2.65
Arizona,2020-11-22,409,17313,2.14
Arizona,2020-11-29,424,18219,1.67
Arizona,2020-12-06,443,19152,2.37
Arizona,2020-12-13,462,20191,2.3
Arizona,2020-12-20,474,21111,1.7
Arizona,2020-12-27,502,22376,1.98
Arizona,2021-01-03,516,23164,1.62
Arizona,2021-01-10,528,24076,1.37
Arizona,2021-01-17,543,24798,1.92
Arizona,2021-01-24,552,25724,0.95
Arizona,2021-01-31,558,26548,1.02
Arizona,2021-02-07,569,27216,1.49
Arizona,2021-02-14,575,27624,1.75
Arizona,2021-02-21,579,27995,1.0
Arizona,2021-02-28,585,28455,1.43
Arizona,2021-03-07,590,28805,1.27
Arizona,2021-03-14,593,29080,1.25
Arizona,2021-03-21,597,29331,1.7
Arizona,2021-03-28,601,29571,1.88
Arizona,2021-04-04,606,29864,1.89
Arizona,2021-04-11,610,30084,1.93
Arizona,2021-04-18,612,30341,0.97
Arizona,2021-04-25,617,30647,1.44
Arizona,2021-05-02,620,30982,0.98
Arizona,2021-05-09,623,31224,1.69
Arizona,2021-05-16,628,31522,1.71
Arizona,2021-05-23,631,31780,1.79
Arizona,2021-05-30,634,32125,0.95
Arizona,2021-06-06,638,32683,0.98
Arizona,2021-06-13,646,33189,1.66
Arizona,2021-06-20,652,33660,1.45
Arizona,2021-06-27,656,34023,1.02
Arizona,2021-07-04,661,34425,1.28
Arizona,2021-07-11,665,34894,0.98
Arizona,2021-07-18,669,35256,1.53
Arizona,2021-07-25,677,35693,1.92
Arizona,2021-08-01,685,36094,1.91
Arizona,2021-08-08,689,36382,1.49
Arizona,2021-08-15,696,36739,1.68
Arizona,2021-08-22,701,37228,1.34
Arizona,2021-08-29,709,37755,1.81
Arizona,2021-09-05,719,38295,1.84
Arizona,2021-09-12,724,38777,1.28
Arizona,2021-09-19,730,39214,1.76
Arizona,2021-09-26,736,39678,1.28
Arizona,2021-10-03,743,40363,1.22
Arizona,2021-10-10,750,41024,1.34
Arizona,2021-10-17,755,41617,0.97
Arizona,2021-10-24,764,42258,1.3
Arizona,2021-10-31,773,42874,1.5
Arizona,2021-11-07,779,43368,1.6
Arizona,2021-11-14,787,44291,0.98
Arizona,2021-11-21,798,44850,2.0
Arizona,2021-11-28,805,45655,0.88
Arizona,2021-12-05,815,46294,1.88
Arizona,2021-12-12,820,46931,0.84
Arizona,2021-12-19,827,47748,0.88
Arizona,2021-12-26,837,48511,1.43
Arkansas,2020-03-01,4,141,3.62
Arkansas,2020-03-08,11,298,4.22
Arkansas,2020-03-15,17,515,3.04
Arkansas,2020-03-22,22,768,2.55
Arkansas,2020-03-29,32,1096,3.82
Arkansas,2020-04-05,39,1346,2.96
Arkansas,2020-04-12,45,1557,2.71
Arkansas,2020-04-19,52,1783,3.81
Arkansas,2020-04-26,58,1974,2.99
Arkansas,2020-05-03,68,2234,4.16
Arkansas,2020-05-10,73,2423,2.91
Arkansas,2020-05-17,76,2579,2.53
Arkansas,2020-05-24,77,2648,2.55
Arkansas,2020-05-31,78,2697,3.34
Arkansas,2020-06-07,79,2804,2.01
Arkansas,2020-06-14,80,2887,2.39
Arkansas,2020-06-21,82,2984,2.11
Arkansas,2020-06-28,83,3070,1.94
Arkansas,2020-07-05,85,3174,1.71
Arkansas,2020-07-12,87,3263,2.84
Arkansas,2020-07-19,88,3349,1.53
Arkansas,2020-07-26,90,3441,2.45
Arkansas,2020-08-02,92,3511,2.75
Arkansas,2020-08-09,93,3602,1.76
Arkansas,2020-08-16,94,3666,2.87
Arkansas,2020-08-23,95,3760,1.91
Arkansas,2020-08-30,97,3858,2.74
Arkansas,2020-09-06,98,3921,1.71
Arkansas,2020-09-13,100,4031,2.4
Arkansas,2020-09-20,102,4130,1.76
Arkansas,2020-09-27,103,4215,2.07
Arkansas,2020-10-04,107,4425,1.75
Arkansas,2020-10-11,112,4663,2.4
Arkansas,2020-10-18,117,4987,1.93
Arkansas,2020-10-25,125,5411,1.95
Arkansas,2020-11-01,136,5805,2.5
Arkansas,2020-11-08,143,6284,1.82
Arkansas,2020-11-15,150,6658,2.39
Arkansas,2020-11-22,159,7103,2.4
Arkansas,2020-11-29,166,7627,1.66
Arkansas,2020-12-06,178,8138,2.24
Arkansas,2020-12-13,186,8563,1.87
Arkansas,2020-12-20,197,9070,2.54
Arkansas,2020-12-27,204,9504,2.04
Arkansas,2021-01-03,209,9990,0.96
Arkansas,2021-01-10,212,10341,1.02
Arkansas,2021-01-17,219,10750,1.68
Arkansas,2021-01-24,225,11083,1.63
Arkansas,2021-01-31,227,11316,1.39
Arkansas,2021-02-07,231,11633,1.93
Arkansas,2021-02-14,235,11879,1.91
Arkansas,2021-02-21,238,12082,1.9
Arkansas,2021-02-28,240,12279,1.16
Arkansas,2021-03-07,242,12433,1.93
Arkansas,2021-03-14,244,12579,1.81
Arkansas,2021-03-21,245,12723,0.84
Arkansas,2021-03-28,245,12823,0.94
Arkansas,2021-04-04,246,12957,1.21
Arkansas,2021-04-11,247,13046,1.18
Arkansas,2021-04-18,248,13187,1.18
Arkansas,2021-04-25,250,13335,1.54
Arkansas,2021-05-02,251,13421,1.84
Arkansas,2021-05-09,253,13568,1.43
Arkansas,2021-05-16,255,13710,2.0
Arkansas,2021-05-23,256,13849,1.28
Arkansas,2021-05-30,258,13978,1.85
Arkansas,2021-06-06,260,14209,1.3
Arkansas,2021-06-13,261,14423,1.09
Arkansas,2021-06-20,262,14585,1.14
Arkansas,2021-06-27,262,14726,0.85
Arkansas,2021-07-04,264,14934,1.31
Arkansas,2021-07-11,266,15106,1.06
Arkansas,2021-07-18,267,15284,0.91
Arkansas,2021-07-25,270,15468,1.93
Arkansas,2021-08-01,271,15629,1.0
Arkansas,2021-08-08,273,15757,1.93
Arkansas,2021-08-15,275,15925,1.42
Arkansas,2021-08-22,276,16057,1.06
Arkansas,2021-08-29,278,16257,1.22
Arkansas,2021-09-05,283,16489,1.86
Arkansas,2021-09-12,285,16738,1.01
Arkansas,2021-09-19,288,16974,1.64
Arkansas,2021-09-26,290,17232,1.07
Arkansas,2021-10-03,293,17467,1.51
Arkansas,2021-10-10,296,17651,1.85
Arkansas,2021-10-17,300,17851,1.87
Arkansas,2021-10-24,306,18180,1.77
Arkansas,2021-10-31,308,18471,0.9
Arkansas,2021-11-07,311,18742,1.11
Arkansas,2021-11-14,313,19045,0.9
Arkansas,2021-11-21,316,19393,0.89
Arkansas,2021-11-28,320,19712,1.38
Arkansas,2021-12-05,325,20101,1.22
Arkansas,2021-12-12,329,20443,1.12
Arkansas,2021-12-19,336,20833,1.59
Arkansas,2021-12-26,343,21236,1.65
California,2020-03-01,89,2211,3.86
California,2020-03-08,184,5160,2.82
California,2020-03-15,293,8943,2.56
California,2020-03-22,388,11683,3.17
California,2020-03-29,530,14725,4.14
California,2020-04-05,621,18691,2.51
California,2020-04-12,817,22866,4.46
California,2020-04-19,937,26018,3.77
California,2020-04-26,1052,29886,2.71
California,2020-05-03,1171,32777,4.43
California,2020-05-10,1260,35212,4.36
California,2020-05-17,1327,37313,3.88
California,2020-05-24,1358,38283,3.92
California,2020-05-31,1379,38930,3.19
California,2020-06-07,1407,39792,2.81
California,2020-06-14,1440,41311,2.62
California,2020-06-21,1457,42680,1.54
California,2020-06-28,1483,43740,2.23
California,2020-07-05,1508,45056,2.17
California,2020-07-12,1540,46595,2.14
California,2020-07-19,1567,47541,2.69
California,2020-07-26,1584,48528,1.62
California,2020-08-02,1613,49824,1.91
California,2020-08-09,1636,50761,2.15
California,2020-08-16,1662,51890,2.46
California,2020-08-23,1691,52915,2.98
California,2020-08-30,1714,54381,1.84
California,2020-09-06,1733,55233,2.48
California,2020-09-13,1770,56678,2.21
California,2020-09-20,1799,57640,2.8
California,2020-09-27,1841,59018,2.77
California,2020-10-04,1897,63094,1.7
California,2020-10-11,2039,68334,2.42
California,2020-10-18,2103,72853,1.68
California,2020-10-25,2206,78332,2.15
California,2020-11-01,2292,83558,1.6
California,2020-11-08,2410,88315,2.7
California,2020-11-15,2480,93891,1.52
California,2020-11-22,2606,99379,2.22
California,2020-11-29,2756,104565,2.54
California,2020-12-06,2862,111466,1.56
California,2020-12-13,2960,115901,1.86
California,2020-12-20,3064,120333,2.25
California,2020-12-27,3178,126395,2.34
California,2021-01-03,3232,130973,1.42
California,2021-01-10,3262,135314,0.84
California,2021-01-17,3302,139436,0.96
California,2021-01-24,3371,143893,1.76
California,2021-01-31,3399,146782,0.93
California,2021-02-07,3434,150411,0.84
California,2021-02-14,3467,152515,1.45
California,2021-02-21,3525,155657,1.66
California,2021-02-28,3555,157751,1.78
California,2021-03-07,3587,159707,1.46
California,2021-03-14,3611,161243,1.57
California,2021-03-21,3624,163044,0.9
California,2021-03-28,3639,164385,0.99
California,2021-04-04,3663,165700,1.97
California,2021-04-11,3686,166979,1.75
California,2021-04-18,3711,168558,1.47
California,2021-04-25,3742,169881,2.0
California,2021-05-02,3761,171605,1.04
California,2021-05-09,3769,172780,0.84
California,2021-05-16,3800,174326,1.84
California,2021-05-23,3822,176137,1.31
California,2021-05-30,3845,177596,1.99
California,2021-06-06,3891,180793,1.49
California,2021-06-13,3935,183595,1.38
California,2021-06-20,3969,186488,1.31
California,2021-06-27,4008,188826,1.89
California,2021-07-04,4046,191101,1.56
California,2021-07-11,4076,192695,1.66
California,2021-07-18,4096,194310,1.09
California,2021-07-25,4125,195909,1.83
California,2021-08-01,4155,197591,1.84
California,2021-08-08,4180,199624,1.23
California,2021-08-15,4204,201278,1.27
California,2021-08-22,4231,203119,1.59
California,2021-08-29,4260,205748,0.96
California,2021-09-05,4280,208066,1.08
California,2021-09-12,4306,210091,1.42
California,2021-09-19,4344,213303,1.32
California,2021-09-26,4387,216354,1.65
California,2021-10-03,4409,218775,0.84
California,2021-10-10,4463,222292,1.37
California,2021-10-17,4531,226291,1.5
California,2021-10-24,4555,229215,0.93
California,2021-10-31,4601,231942,1.44
California,2021-11-07,4626,234738,0.95
California,2021-11-14,4685,239779,1.18
California,2021-11-21,4719,242763,0.98
California,2021-11-28,4770,248149,0.81
California,2021-12-05,4853,252788,1.84
California,2021-12-12,4917,257156,1.39
California,2021-12-19,4943,260564,0.84
California,2021-12-26,4997,265438,1.04
Colorado,2020-03-01,10,370,2.69
Colorado,2020-03-08,23,731,4.24
Colorado,2020-03-15,47,1234,4.18
Colorado,2020-03-22,67,1805,3.49
Colorado,2020-03-29,87,2486,3.64
Colorado,2020-04-05,117,3211,3.88
Colorado,2020-04-12,134,3683,3.82
Colorado,2020-04-19,150,4269,2.71
Colorado,2020-04-26,169,4897,2.6
Colorado,2020-05-03,187,5286,4.24
Colorado,2020-05-10,202,5628,3.98
Colorado,2020-05-17,209,5857,3.15
Colorado,2020-05-24,217,6047,4.02
Colorado,2020-05-31,220,6133,4.14
Colorado,2020-06-07,222,6310,1.51
Colorado,2020-06-14,225,6469,2.09
Colorado,2020-06-21,228,6630,2.17
Colorado,2020-06-28,230,6790,1.84
Colorado,2020-07-05,234,6973,2.5
Colorado,2020-07-12,238,7142,2.07
Colorado,2020-07-19,241,7317,2.22
Colorado,2020-07-26,244,7473,2.07
Colorado,2020-08-02,248,7654,2.3
Colorado,2020-08-09,253,7854,2.72
Colorado,2020-08-16,255,8074,1.53
Colorado,2020-08-23,258,8196,2.47
Colorado,2020-08-30,261,8342,2.89
Colorado,2020-09-06,264,8560,2.03
Colorado,2020-09-13,266,8731,1.89
Colorado,2020-09-20,270,8884,2.7
Colorado,2020-09-27,274,9037,2.42
Colorado,2020-10-04,282,9514,2.12
Colorado,2020-10-11,292,10008,2.52
Colorado,2020-10-18,306,10685,2.56
Colorado,2020-10-25,322,11434,1.88
Colorado,2020-11-01,342,12193,2.71
Colorado,2020-11-08,358,12778,2.45
Colorado,2020-11-15,385,13665,2.73
Colorado,2020-11-22,398,14382,1.82
Colorado,2020-11-29,424,15201,2.76
Colorado,2020-12-06,440,15988,1.86
Colorado,2020-12-13,459,16722,2.73
Colorado,2020-12-20,474,17628,1.64
Colorado,2020-12-27,489,18394,2.38
Colorado,2021-01-03,502,19246,1.84
Colorado,2021-01-10,506,19773,0.83
Colorado,2021-01-17,514,20455,1.46
Colorado,2021-01-24,522,21001,1.51
Colorado,2021-01-31,529,21682,0.96
Colorado,2021-02-07,535,22126,1.31
Colorado,2021-02-14,542,22594,1.99
Colorado,2021-02-21,546,22880,1.67
Colorado,2021-02-28,548,23172,0.9
Colorado,2021-03-07,550,23457,1.03
Colorado,2021-03-14,551,23650,1.23
Colorado,2021-03-21,553,23883,0.88
Colorado,2021-03-28,556,24077,1.45
Colorado,2021-04-04,559,24328,1.44
Colorado,2021-04-11,562,24535,1.6
Colorado,2021-04-18,566,24788,1.47
Colorado,2021-04-25,568,25014,0.87
Colorado,2021-05-02,571,25308,1.01
Colorado,2021-05-09,573,25497,1.44
Colorado,2021-05-16,576,25721,1.71
Colorado,2021-05-23,581,25974,1.75
Colorado,2021-05-30,583,26168,1.28
Colorado,2021-06-06,592,26663,1.91
Colorado,2021-06-13,598,27097,1.43
Colorado,2021-06-20,601,27353,1.71
Colorado,2021-06-27,608,27739,1.74
Colorado,2021-07-04,610,27962,1.16
Colorado,2021-07-11,612,28235,0.91
Colorado,2021-07-18,615,28536,1.17
Colorado,2021-07-25,619,28815,1.52
Colorado,2021-08-01,625,29177,1.4
Colorado,2021-08-08,629,29533,1.05
Colorado,2021-08-15,632,29765,1.78
Colorado,2021-08-22,639,30150,1.84
Colorado,2021-08-29,642,30537,1.17
Colorado,2021-09-05,645,30864,1.01
Colorado,2021-09-12,651,31198,1.97
Colorado,2021-09-19,656,31665,0.96
Colorado,2021-09-26,663,32186,1.38
Colorado,2021-10-03,668,32697,1.01
Colorado,2021-10-10,672,33136,0.98
Colorado,2021-10-17,674,33501,0.83
Colorado,2021-10-24,685,34163,1.46
Colorado,2021-10-31,691,34683,1.17
Colorado,2021-11-07,696,35226,0.93
Colorado,2021-11-14,703,35710,1.54
Colorado,2021-11-21,707,36185,0.87
Colorado,2021-11-28,713,36785,0.87
Colorado,2021-12-05,721,37244,1.63
Colorado,2021-12-12,725,37777,0.97
Colorado,2021-12-19,730,38337,0.92
Colorado,2021-12-26,737,38804,1.41
Connecticut,2020-03-01,7,214,3.73
Connecticut,2020-03-08,15,464,3.55
Connecticut,2020-03-15,24,683,4.27
Connecticut,2020-03-22,32,945,3.24
Connecticut,2020-03-29,50,1361,3.97
Connecticut,2020-04-05,58,1615,3.33
Connecticut,2020-04-12,66,1868,3.02
Connecticut,2020-04-19,74,2130,3.57
Connecticut,2020-04-26,81,2343,2.98
Connecticut,2020-05-03,94,2646,4.42
Connecticut,2020-05-10,99,2803,3.6
Connecticut,2020-05-17,103,2986,2.7
Connecticut,2020-05-24,105,3065,3.15
Connecticut,2020-05-31,106,3120,3.25
Connecticut,2020-06-07,109,3225,2.68
Connecticut,2020-06-14,112,3362,2.68
Connecticut,2020-06-21,114,3482,2.16
Connecticut,2020-06-28,116,3612,1.56
Connecticut,2020-07-05,118,3717,2.46
Connecticut,2020-07-12,121,3850,2.46
Connecticut,2020-07-19,122,3930,2.28
Connecticut,2020-07-26,124,4053,2.27
Connecticut,2020-08-02,125,4131,1.63
Connecticut,2020-08-09,126,4211,1.61
Connecticut,2020-08-16,129,4348,2.61
Connecticut,2020-08-23,131,4442,2.02
Connecticut,2020-08-30,132,4560,1.78
Connecticut,2020-09-06,134,4642,2.49
Connecticut,2020-09-13,135,4734,1.53
Connecticut,2020-09-20,137,4872,1.94
Connecticut,2020-09-27,139,4988,2.07
Connecticut,2020-10-04,146,5255,2.42
Connecticut,2020-10-11,153,5669,2.3
Connecticut,2020-10-18,166,6202,2.7
Connecticut,2020-10-25,180,6781,2.4
Connecticut,2020-11-01,195,7331,2.72
Connecticut,2020-11-08,204,7722,2.01
Connecticut,2020-11-15,212,8158,2.06
Connecticut,2020-11-22,226,8673,2.42
Connecticut,2020-11-29,232,9129,1.68
Connecticut,2020-12-06,246,9793,2.47
Connecticut,2020-12-13,266,10423,2.79
Connecticut,2020-12-20,279,11067,1.88
Connecticut,2020-12-27,293,11548,2.76
Connecticut,2021-01-03,300,12091,1.59
Connecticut,2021-01-10,310,12537,1.98
Connecticut,2021-01-17,312,12827,1.0
Connecticut,2021-01-24,318,13241,1.78
Connecticut,2021-01-31,324,13571,1.81
Connecticut,2021-02-07,328,13872,1.51
Connecticut,2021-02-14,331,14102,1.48
Connecticut,2021-02-21,335,14388,1.56
Connecticut,2021-02-28,336,14556,1.35
Connecticut,2021-03-07,338,14678,1.67
Connecticut,2021-03-14,339,14787,1.28
Connecticut,2021-03-21,340,14905,1.47
Connecticut,2021-03-28,341,15059,1.03
Connecticut,2021-04-04,342,15227,1.47
Connecticut,2021-04-11,343,15393,0.84
Connecticut,2021-04-18,345,15511,1.95
Connecticut,2021-04-25,346,15640,0.98
Connecticut,2021-05-02,349,15816,2.0
Connecticut,2021-05-09,351,15955,1.67
Connecticut,2021-05-16,352,16107,1.27
Connecticut,2021-05-23,353,16268,0.8
Connecticut,2021-05-30,354,16399,1.75
Connecticut,2021-06-06,357,16650,1.38
Connecticut,2021-06-13,359,16816,1.5
Connecticut,2021-06-20,362,17036,1.52
Connecticut,2021-06-27,365,17275,1.12
Connecticut,2021-07-04,366,17468,0.89
Connecticut,2021-07-11,369,17636,1.74
Connecticut,2021-07-18,371,17849,1.42
Connecticut,2021-07-25,372,17991,1.19
Connecticut,2021-08-01,373,18127,1.06
Connecticut,2021-08-08,377,18336,2.0
Connecticut,2021-08-15,379,18541,1.31
Connecticut,2021-08-22,381,18771,0.94
Connecticut,2021-08-29,384,19019,1.26
Connecticut,2021-09-05,386,19247,1.02
Connecticut,2021-09-12,387,19454,0.83
Connecticut,2021-09-19,390,19747,1.13
Connecticut,2021-09-26,393,19975,1.93
Connecticut,2021-10-03,398,20239,1.85
Connecticut,2021-10-10,402,20476,1.76
Connecticut,2021-10-17,404,20781,0.96
Connecticut,2021-10-24,409,21149,1.4
Connecticut,2021-10-31,414,21534,1.72
Connecticut,2021-11-07,417,21909,0.96
Connecticut,2021-11-14,423,22308,1.95
Connecticut,2021-11-21,425,22583,1.14
